id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"4118",Yes,,Tee,0,Potable,Mechanical,DuctileIron,"8","6","270",FIT3850,,Retired,,,,,,9e8bce0b-4caf-4489-9878-d1e8dae4e1d3,lkoons,2019/02/13,2019/02/13,lkoons,,1429343.23873231,3265384.55388647,./0.png
"4120",Yes,,Tee,4778.555,Potable,Mechanical,DuctileIron,"4","2","0",FIT3852,,Active,Tyler,Ford,1500S,,,24c20331-1584-46cb-9bfb-e9b8f1c0e576,lkoons,2019/02/13,2019/02/13,lkoons,,1424707.96060131,3242662.37853038,./0.png
"4121",Yes,,Bend,4778.753,Potable,Mechanical,DuctileIron,"4","4","0",FIT3853,,Active,Tyler,Ford,1500S,"90",,bc52ddbe-4546-4dbd-91fc-fb0c028ec00d,lkoons,2019/02/13,2019/02/13,lkoons,,1424697.64894214,3242554.7425908,./0.png
"4122",Yes,,Saddle,4811.901,Potable,Other,Other,"4","1","0",FIT3854,,Active,,,,,,ce10d2ea-044c-443a-9348-c9bed41e4aeb,lkoons,2019/02/13,2019/02/13,lkoons,,1428605.3327278,3212728.33997339,./0.png
"4123",Yes,,Saddle,4809.166,Potable,Other,Other,"10","1","0",FIT3855,,Retired,Romac,,,,,9852bd95-39d5-48d2-831b-03cd4ae6ba91,lkoons,2019/02/13,2019/02/13,lkoons,,1437959.89997664,3228566.29976723,./0.png
"4124",Yes,,Bend,4640.644,Potable,Gasket,PVC,"2","2","0",FIT3856,,Retired,,,,"90",,72689b6f-3ca3-4d1e-94ff-03bf28d8da43,lkoons,2019/02/13,2019/02/13,lkoons,,1403224.36183631,3250046.93659589,./0.png
"4125",Yes,,Saddle,4646.29,Potable,Other,Other,"6","2","0",FIT3857,,Active,,,,,,62404e74-0120-4685-81db-8a1374b4954b,lkoons,2019/02/13,2019/02/13,lkoons,,1405264.90335889,3250049.56060639,./0.png
"4126",Yes,,Coupling,4646.139,Potable,Gasket,PVC,"2","2","0",FIT3858,,Active,,,,,,87d1bbf8-59f8-47ef-803f-64184812bbf3,lkoons,2019/02/13,2019/02/13,lkoons,,1405264.93058981,3250051.90837072,./0.png
"4127",Yes,,Bend,4646.191,Potable,Glue,PVC,"2","2","0",FIT3859,,Active,,,,"45",,659eab53-61bc-4852-82b2-e463d74c2b85,lkoons,2019/02/13,2019/02/13,lkoons,,1405264.9289494,3250052.61014096,./0.png
"4128",Yes,,Bend,4644.682,Potable,Glue,PVC,"2","2","0",FIT3860,,Active,,,,"45",,df787c26-2aa3-48ed-8583-ff7d6acb5e49,lkoons,2019/02/13,2019/02/13,lkoons,,1405263.05264081,3250055.08093655,./0.png
