id,enabled,installdat,type,elevation,watertype,diameter,rotation,tracerwire,modelid,comment,status,openleft,curopen,turnsclose,mfg,megalugmfg,megalugmdl,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"917",Yes,,Gate,4716.03,Potable,"3","0",No,V650,,Active,Yes,Yes,"12",,,,,d15d6a59-75dc-4c0f-94f7-7094c674a410,2019/02/13,lkoons,2019/02/13,lkoons,,3270843.52393964,1418711.72915548,./0.png
"918",Yes,,Gate,4840.52,Potable,"2","0",No,V651,,Retired,Yes,Yes,"8",,,,,49860937-632c-412d-b8fa-ccb16c096a92,2019/02/13,lkoons,2019/02/13,lkoons,,3265374.77339423,1423410.13347256,./0.png
"919",Yes,,Gate,4780.36,Potable,"8","90",No,V652,,Active,Yes,Yes,"26",,,,,2dca3386-5cc2-4035-a36c-7d91d4b51807,2019/02/13,lkoons,2019/02/13,lkoons,,3265433.85923405,1420568.74282989,./0.png
"920",Yes,,Gate,4782.75,Potable,"4","0",No,V653,,Active,Yes,Yes,"15",,,,,23c7708d-5283-43d9-8563-a240885440b9,2019/02/13,lkoons,2019/02/13,lkoons,,3265431.22275639,1420695.91842856,./0.png
"921",Yes,,Gate,4782.06,Potable,"4","0",No,V654,,Active,Yes,No,"15",,,,,85b9ae36-a440-4086-bb74-7a200bf1d1f7,2019/02/13,lkoons,2019/02/13,lkoons,,3265488.17342989,1420682.89253597,./0.png
"922",Yes,,Gate,0,Potable,"8","90",No,V655,Valve was not GPS,Retired,Yes,Yes,"26",,,,,b8cb701a-9a1b-40fb-aa6d-425f034eb3c9,2019/02/13,lkoons,2019/02/13,lkoons,,3177597.90498506,1434133.23505782,./0.png
"923",Yes,,Gate,0,Potable,"8","90",No,V656,Valve was not GPS,Retired,Yes,Yes,"26",,,,,c61db3aa-c584-4e47-8590-3de02a952ef8,2019/02/13,lkoons,2019/02/13,lkoons,,3178242.73112322,1434143.29212432,./0.png
"924",Yes,,Gate,4937.23,Potable,"8","0",No,V657,,Active,Yes,Yes,"26",,,,,14996343-55a5-4015-9e96-527fda900c31,2019/02/13,lkoons,2019/02/13,lkoons,,3175053.50456205,1442099.33067414,./0.png
"925",Yes,,Gate,4938.82,Potable,"8","90",No,V658,,Active,Yes,Yes,"29",,,,,8e3e0acc-12e7-4690-8c4d-220d0a641d77,2019/02/13,lkoons,2019/02/13,lkoons,,3175055.7181403,1442097.51112397,./0.png
"926",Yes,,Gate,4939.95,Potable,"8","90",No,V659,,Active,Yes,Yes,"26",,,,,d170d1e9-2079-4c2b-8a60-44f065b6e7d6,2019/02/13,lkoons,2019/02/13,lkoons,,3175054.89366689,1442079.16470398,./0.png
"927",Yes,,Gate,4940.59,Potable,"8","0",No,V660,,Active,Yes,Yes,"26",,,,,4ee5a314-b2af-4689-96eb-9f4d6704d773,2019/02/13,lkoons,2019/02/13,lkoons,,3175051.66007756,1442077.5282243,./0.png
"928",Yes,,Gate,4938.09,Potable,"2","0",No,V661,,Active,Yes,No,"8",,,,,6af446f1-96ab-477d-b1f3-738dd021d841,2019/02/13,lkoons,2019/02/13,lkoons,,3175059.23125663,1442103.3375559,./0.png
"929",Yes,,Gate,4849.67,Potable,"3","90",No,V662,,Active,Yes,Yes,"10",,,,,c2d94a1e-41f3-424c-9308-ac0ee68c8a66,2019/02/13,lkoons,2019/02/13,lkoons,,3249770.14384238,1439562.16219206,./0.png
