X,Y,id,enabled,installdat,type,elevation,watertype,diameter,comment,model,status,mfg,surveyelev,globalid,creationda,creator,editdate,editor,icon_url
-104.911630727879,40.6397473570563,ARV75,Yes,,Auto,5164.28,Potable,"1",,,Active,,,cfc975f9-c68e-458c-9a66-dd1b2dc121c3,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.939017664515,40.6387808921216,ARV76,Yes,,Auto,5312.26,Potable,"1",,,Active,,,eb268f19-bc4d-42cb-ac0c-33930ac36d97,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.905418611703,40.6399515241406,ARV77,Yes,,Auto,5194.11,Potable,"1",,,Active,,,b6db8705-7419-4b91-85c4-bad17d4398ef,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.891909882575,40.6399723674626,ARV78,Yes,,Auto,5196.18,Potable,"1",,,Active,,,a406965d-9084-4cb8-9ac9-7f699793b0b9,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.887450566074,40.6497986766891,ARV79,Yes,,Auto,5304.69,Potable,"1",,,Active,,,aafc6eee-e2d7-4ff2-a6a3-6808012f6ff1,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.936933333956,40.6388199956656,ARV80,Yes,,Auto,5310.87,Potable,"1",,,Active,,,798e6091-fefa-40a7-a881-2696ce1d67ef,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.508021693385,40.4156976362297,ARV81,Yes,2003/08/15,Auto,4604.11,Potable,"1",,,Active,,,1c899380-db9d-4b3c-bc75-4215050a1361,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.508055937952,40.4161315808995,ARV82,Yes,2003/08/01,Auto,0,Potable,"1",,,Active,,,a4d9235d-5587-4a6e-9ddd-599607e353e9,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.944317465427,40.5953015314556,ARV85,Yes,,Auto,5070.57,Potable,"1",,,Active,,,2d8d0b3a-b1d1-4d97-9ead-4e479371eacb,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.944324888745,40.595301763226,ARV86,Yes,,Auto,0,Potable,"1",,,Active,,,bf22e795-b403-439e-88d7-65cb7685ba74,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.841259798088,40.574215556485,ARV87,Yes,,Auto,5069.1537,Potable,"1",,,Active,,,1fb6524b-58e6-49e3-8194-01c699162b3e,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.82195711484,40.567182120395,ARV102,Yes,,Manual,5028.7,Potable,"1",,,Active,,,fda64c5b-ced3-458e-bf71-3f6835c41a13,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.785411210297,40.5679022453705,ARV103,Yes,,Auto,5007.79,Potable,"1",,,Active,APCO,,b7c0b2e2-aa05-4e73-a38c-8112501108aa,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.821547274277,40.6252376782062,ARV104,Yes,,Auto,5211.17,Potable,"1",,,Active,,,b32dcab8-13ab-43d9-8217-9a3f55f06754,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.792186803884,40.6076537597233,ARV105,Yes,,Manual,5040.87,Potable,"1",,,Active,,,76669701-2f61-43a9-bc5c-1e499086feb0,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.808708793877,40.5965587507514,ARV106,Yes,,Manual,5085.34,Potable,"1",,,Active,,,78ba2e07-33c6-4533-9bd5-2a1f7f52f0e5,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.803815425345,40.5965586683119,ARV107,Yes,,Auto,5086.23,Potable,"1",,,Active,,,707a6ffe-deb2-4b7c-8711-55e03df4ff63,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.926140248294,40.6216694250398,ARV108,Yes,,Auto,5257.43,Potable,"1",,,Active,,,44637a07-01f4-4bc4-8bc8-6fbf632b72f9,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.914497561521,40.5525938864034,ARV109,Yes,,Manual,4992.2,Potable,"1",,,Active,,,7b9aca63-2c15-4ca7-9525-433aa73461bc,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.699513317739,40.5388999100976,ARV110,Yes,,Auto,4874.85,Potable,"1",,,Active,,,2ba683fb-d504-4a87-a071-a4f9a86dad9e,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.691113086993,40.5386196710922,ARV111,Yes,,Manual,4891.93,Potable,"1",,,Active,,,2d4c5b6b-2118-42cc-9746-0e14899d944c,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.754355373294,40.5548028688935,ARV112,Yes,,Manual,4914.57,Potable,"1",,,Active,,,d8c94fbf-5d6c-4501-80d7-c016efa1c4ad,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.754367029866,40.5578443480861,ARV113,Yes,,Manual,4908.89,Potable,"1",,,Active,,,5f97dc66-84c5-4ee8-b4e2-b85b3f2ba2c1,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.754367029866,40.5578443480861,ARV114,Yes,,Manual,4908.89,Potable,"1",,,Active,,,8b3ae5f1-e9b4-41d1-bf63-a8ded7318569,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.763402550367,40.5826938143971,ARV115,Yes,,Manual,4945.89,Potable,"1",,,Active,,,90e55b6e-5324-4970-b709-3cb71e32ff24,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.756581589668,40.5826898504925,ARV116,Yes,,Manual,4945.94,Potable,"1",,,Active,,,c928858a-547f-4333-bbfd-9c022ee7ee64,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.74852390976,40.5825771110542,ARV117,Yes,,Manual,4944.49,Potable,"1",,,Active,,,d4a93eec-f464-453b-a23d-d0aa2c975c6d,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.756784141025,40.6400844192223,ARV118,Yes,,Manual,5051.86,Potable,"1",,,Active,,,11d0c64b-42b0-4fd0-9a4c-a67c95935c66,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.789689709679,40.6402596119267,ARV119,Yes,,Manual,5068.22,Potable,"1",,,Active,,,2a33be57-cf1d-48b7-8647-e696c74797d8,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.78820631631,40.6402541109723,ARV120,Yes,,Manual,5063.02,Potable,Unknown,,,Active,,,c7537861-6d36-4d37-a8fd-071c385453e3,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.791957044662,40.6384575961929,ARV121,Yes,,Manual,5054.98,Potable,"1",,,Active,,,a7701b00-5b26-4694-b298-dc5092e81591,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.791997982513,40.6352085528259,ARV122,Yes,,Manual,5065.55,Potable,"1",,,Active,,,6dbe136f-d5c2-41cf-87f7-79e8123bbffe,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.79203207739,40.6314377558012,ARV123,Yes,,Manual,5071.37,Potable,"1",,,Active,,,ba30dc98-3a99-4803-a42e-68e9634a14b9,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
